TimeMin,PickupCount
8.600000000000000000e+02,3.300000000000000000e+01
1.700000000000000000e+01,7.500000000000000000e+01
4.860000000000000000e+02,1.300000000000000000e+01
3.000000000000000000e+02,5.000000000000000000e+00
3.850000000000000000e+02,1.000000000000000000e+01
6.390000000000000000e+02,3.700000000000000000e+01
8.190000000000000000e+02,2.800000000000000000e+01
8.830000000000000000e+02,3.500000000000000000e+01
6.900000000000000000e+02,2.700000000000000000e+01
6.800000000000000000e+01,9.500000000000000000e+01
4.000000000000000000e+01,2.400000000000000000e+01
4.420000000000000000e+02,2.200000000000000000e+01
1.077000000000000000e+03,6.900000000000000000e+01
7.270000000000000000e+02,2.200000000000000000e+01
8.000000000000000000e+02,3.400000000000000000e+01
1.396000000000000000e+03,7.900000000000000000e+01
7.090000000000000000e+02,3.300000000000000000e+01
1.480000000000000000e+02,7.000000000000000000e+00
1.072000000000000000e+03,1.900000000000000000e+01
8.510000000000000000e+02,1.300000000000000000e+01
1.365000000000000000e+03,4.600000000000000000e+01
1.279000000000000000e+03,3.100000000000000000e+01
8.630000000000000000e+02,3.800000000000000000e+01
1.240000000000000000e+02,4.600000000000000000e+01
1.123000000000000000e+03,9.200000000000000000e+01
6.330000000000000000e+02,3.500000000000000000e+01
3.420000000000000000e+02,6.000000000000000000e+00
3.810000000000000000e+02,8.000000000000000000e+00
7.400000000000000000e+02,3.000000000000000000e+01
1.029000000000000000e+03,4.000000000000000000e+01
1.236000000000000000e+03,3.800000000000000000e+01
1.258000000000000000e+03,3.200000000000000000e+01
1.980000000000000000e+02,8.000000000000000000e+00
6.790000000000000000e+02,3.300000000000000000e+01
1.980000000000000000e+02,8.000000000000000000e+00
7.450000000000000000e+02,2.400000000000000000e+01
4.000000000000000000e+00,5.800000000000000000e+01
1.260000000000000000e+03,2.500000000000000000e+01
1.390000000000000000e+02,1.000000000000000000e+01
9.400000000000000000e+01,1.000000000000000000e+01
1.061000000000000000e+03,4.200000000000000000e+01
